name,language,event_url,summary,img_url,start_date,ticket_url,price,end_date,city,longitude,latitude,address
COLTIVARE L’UMANO SEMINARIO RESIDENZIALE,en-us,https://www.eventbrite.it/e/coltivare-lumano-seminario-residenziale-tickets-923899988737,Percorsi di autodeterminazione per un approccio intuitivo alla vita,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F787596179%2F2191157601833%2F1%2Foriginal.20240611-175016?auto=format%2Ccompress&q=75&sharp=10&s=294f8227ee62e448dbc93053856cae3a,2024-08-17,https://www.eventbrite.com/checkout-external?eid=923899988737,139.93,2024-08-20,Barzio,9.453116099999999,45.9424051,Valsassina 23816 Barzio
Bergamo Outdoor Escape Game: Atalanta the Hero,en-us,https://www.eventbrite.com/e/bergamo-outdoor-escape-game-atalanta-the-hero-tickets-896901104347,Follow clues solve puzzles discover new places and learn incredible stories of the city's past and present during this city adventure.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F668701049%2F296218901481%2F1%2Foriginal.20240106-013632?auto=format%2Ccompress&q=75&sharp=10&s=4171851bb82cb6549ce0f069271ffb99,2024-07-06,https://www.eventbrite.com/checkout-external?eid=896901104347,39.99,2024-07-06,Bergamo,9.6718642,45.6937422,13 Viale Papa Giovanni XXIII 24121 Bergamo
Crema - Workshop Fotografia Ritratto,it-it,https://www.eventbrite.it/e/biglietti-crema-workshop-fotografia-ritratto-778306805607,workshop in formula breve (4 ore) con modella in esterna,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F659200669%2F157512799118%2F1%2Foriginal.20230107-195620?auto=format%2Ccompress&q=75&sharp=10&s=49270a74f26e15eb0e44a895980284c1,2024-07-27,https://www.eventbrite.com/checkout-external?eid=778306805607,81.25,2024-07-27,Crema,9.682231999999999,45.3660905,Largo della Pace 26013 Crema
SUMMER PARTNER,en-us,https://www.eventbrite.com/e/summer-partner-tickets-927770335047,IL PRIMO PARTY DELLA CONSULENZA ITALIANA,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F791625299%2F2199278734593%2F1%2Foriginal.20240618-092343?auto=format%2Ccompress&q=75&sharp=10&s=9c1fc9db949f9a1e9980ab3135f6ae93,2024-07-19,https://www.eventbrite.com/checkout-external?eid=927770335047,27.89,2024-07-20,Novegro-Tregarezzo,9.2854958,45.46928090000001,Via Circonvallazione Idroscalo 20054 Novegro-Tregarezzo
Luminous Gardens - Alessandro Martire,en-us,https://www.eventbrite.it/e/luminous-gardens-alessandro-martire-tickets-898651429617,Il pianista e compositore di fama internazionale Alessandro Martire con Annabelle Traves in concerto per Lake Endless Joy Festival 2024.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F759992099%2F1630955304853%2F1%2Foriginal.20240505-155053?auto=format%2Ccompress&q=75&sharp=10&s=e62e890ec3b1c9539e4f5c6009f67c29,2024-07-27,https://www.eventbrite.com/checkout-external?eid=898651429617,Gratis,2024-07-27,Novedrate,9.1199924,45.6994683,28 Piazza Umberto I 22060 Novedrate
INNERHERO® - Il Viaggio dell'Eroe per il tuo successo nella vita,it-it,https://www.eventbrite.it/e/registrazione-innerhero-il-viaggio-delleroe-per-il-tuo-successo-nella-vita-936347128467,Scopri il potere della narrazione personale con Francesca Marchegiano e INNERHERO®. Crescita successo e IA per un futuro migliore.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F799273009%2F371523521545%2F1%2Foriginal.20240701-094031?auto=format%2Ccompress&q=75&sharp=10&s=b8d75de580eb7654b7545aa0f5fbb0fb,2024-07-13,https://www.eventbrite.com/checkout-external?eid=936347128467,29.52,2024-07-13,Milano,9.204575100000001,45.5078655,78 Viale Sarca 20125 Milano
Fusion 360 | Corso Completo,it-it,https://www.eventbrite.it/e/biglietti-fusion-360-corso-completo-938189218207,Il corso  affronta le tecniche di modellazione con flussi di lavoro organici della modellazione 3D parametrica di componenenti e assiemi.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F793788859%2F182479059095%2F1%2Foriginal.20240621-085421?auto=format%2Ccompress&q=75&sharp=10&s=1c68959474d602f9616ca81d90bc0c0d,2024-10-15,https://www.eventbrite.com/checkout-external?eid=938189218207,963.80,2024-10-24,Mariano Comense,9.177458000000001,45.6981615,82 Piazza Roma 22066 Mariano Comense
Super sunday,en-us,https://www.eventbrite.it/e/super-sunday-tickets-878423216487,Evento formativo di 5 ore sul network,,2024-09-15,https://www.eventbrite.com/checkout-external?eid=878423216487,14.16,2024-09-15,Bresso,9.190948299999999,45.5382074,Bresso 20091 Bresso
Ramada Summer Festival 2024,it-it,https://www.eventbrite.it/e/biglietti-ramada-summer-festival-2024-913846157457,8 serate sotto le stelle 8 band dal vivo per farvi ballare 8 date speciali per divertirci 8 aperitivi per brindare insieme!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F776801379%2F286613478917%2F1%2Foriginal.20240527-095347?auto=format%2Ccompress&q=75&sharp=10&s=ad1a837613be2ccac3bb2f9160f69aca,2024-07-10,https://www.eventbrite.com/checkout-external?eid=913846157457,129.26,2024-07-10,Milano,9.227451900000005,45.5017626,via Stamira d'Ancona 27 20127 Milano
Coffee Talk: A colazione con Gea Smith,it-it,https://www.eventbrite.it/e/biglietti-coffee-talk-a-colazione-con-gea-smith-932353082167,Coffee Talk: un nuovo format di evento targato Young Women Network,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F797344449%2F120793618587%2F1%2Foriginal.20240627-110224?auto=format%2Ccompress&q=75&sharp=10&s=517156ae6843dd9a14f1b0875a5f7265,2024-07-09,https://www.eventbrite.com/checkout-external?eid=932353082167,Gratis,2024-07-09,Milano,9.1894762,45.48630639999999,4 Via Federico Confalonieri 20124 Milano
